B,U[-S]U[-C]
S,FFFFFF]ff
S,FFF]ffFFF
S,FFFF]ffFF
S,FFFFF]ffF
S,FF]ffFFFF
S,-FF]fF[+FF
S,fF[-FF]fF[
S,F[-FF]fF[-
S,[-FF]fF[-F
S,-FF]fF[-FF
S,FF]fF[-FF]
S,F]fF[-FF]f
S,]fF[-FF]fF
S,F[-FF]fF[+
S,[-FF]fF[+F
S,FF]fF[+FF]
S,[-FfF[-FF]
S,]fF[+FF]fF
S,fF[+FF]fF[
S,F[+FF]fF[+
S,[+FF]fF[+F
S,+FF]fF[+FF
S,F[+FF]fF[-
S,[+FF]fF[-F
S,+FF]fF[-FF
S,fF[-FF]fF]
S,FfF[-FF]fF
S,F]fF[+FF]f
S,F[-FF]fF]/
S,-FfF[-FF]f
S,FFFFFFFF]f
S,F[-FfF[-FF
S,ffFFFF[-FF
S,fFFFF[-FFF
S,FFFF[-FFFF
S,FFF[-FFFFF
S,FF[-FFFFFF
S,F[-FFFFFFF
S,-FFFFFFFFF
S,FFFFFFFFF]
S,FFFFFFF]ff
S,FFFFFF]ffF
S,[-FFFFFFFF
S,FFFF]ffFFF
S,FFF]ffFFFF
S,FF]ffFFFF[
S,F]ffFFFF[-
S,]ffFFFF[-F
S,ffFFFF[-Ff
S,fFFFF[-FfF
S,FFFF[-FfF[
S,FFF[-FfF[-
S,FF[-FfF[-F
S,FFFFF]ffFF
S,]fF[-FF]fF[
S,[-FF]fF[+FF
S,F[-FF]fF[+F
S,fF[-FF]fF[+
S,F]fF[-FF]fF
S,FF]fF[+FF]f
S,-FF]fF[-FF]
S,[-FF]fF[-FF
S,F[-FF]fF[-F
S,-FF]fF[+FF]
S,FF]fF[-FF]f
S,FfF[-FF]fF[
S,fF[-FF]fF]/
S,]fF[+FF]fF[
S,fF[+FF]fF[+
S,F[+FF]fF[+F
S,[+FF]fF[+FF
S,+FF]fF[+FF]
S,fF[+FF]fF[-
S,F[+FF]fF[-F
S,[+FF]fF[-FF
S,+FF]fF[-FF]
S,]fF[-FF]fF]
S,F]fF[+FF]fF
S,fF[-FF]fF[-
S,FFFF[-FFFFF
S,[-FFFFFFFFF
S,-FfF[-FF]fF
S,ffFFFF[-FFF
S,fFFFF[-FFFF
S,FFF[-FFFFFF
S,FF[-FFFFFFF
S,F[-FFFFFFFF
S,-FFFFFFFFF]
S,FFFFFFFFF]f
S,FFFFFFFF]ff
S,FFFFFFF]ffF
S,FFFFFF]ffFF
S,[-FfF[-FF]f
S,FF[-FfF[-FF
S,F[-FfF[-FF]
S,FFFFF]ffFFF
S,FFF[-FfF[-F
S,FFFF[-FfF[-
S,fFFFF[-FfF[
S,FFFF]ffFFFF
S,]ffFFFF[-Ff
S,F]ffFFFF[-F
S,FF]ffFFFF[-
S,FFF]ffFFFF[
S,ffFFFF[-FfF
S,]fF[+FF]fF[+
S,FF]fF[+FF]fF
S,-FF]fF[+FF]f
S,[-FF]fF[+FF]
S,F[-FF]fF[+FF
S,F]fF[-FF]fF[
S,]fF[-FF]fF[+
S,FF]fF[-FF]fF
S,-FF]fF[-FF]f
S,[-FF]fF[-FF]
S,fF[-FF]fF[+F
S,F]fF[+FF]fF[
S,fF[-FF]fF[-F
S,F[+FF]fF[+FF
S,[+FF]fF[+FF]
S,+FF]fF[+FF]f
S,]fF[+FF]fF[-
S,]fF[-FF]fF]/
S,fF[+FF]fF[-F
S,F[+FF]fF[-FF
S,[+FF]fF[-FF]
S,+FF]fF[-FF]f
S,]fF[-FF]fF[-
S,F[-FF]fF[-FF
S,fF[+FF]fF[+F
S,F]fF[-FF]fF]
S,[-FFFFFFFFF]
S,-FFFFFFFFF]f
S,FfF[-FF]fF[-
S,ffFFFF[-FFFF
S,fFFFF[-FFFFF
S,FFFF[-FFFFFF
S,FFF[-FFFFFFF
S,FF[-FFFFFFFF
S,F[-FFFFFFFFF
S,FFFFFFFFF]ff
S,FFFFFFFF]ffF
S,FFFFFFF]ffFF
S,FFFFFF]ffFFF
S,FFFFF]ffFFFF
S,-FfF[-FF]fF[
S,FFF[-FfF[-FF
S,[-FfF[-FF]fF
S,FFFF]ffFFFF[
S,F[-FfF[-FF]f
S,FF[-FfF[-FF]
S,FFFF[-FfF[-F
S,FFF]ffFFFF[-
S,ffFFFF[-FfF[
S,]ffFFFF[-FfF
S,F]ffFFFF[-Ff
S,FF]ffFFFF[-F
S,fFFFF[-FfF[-
S,F[-FF]fF[+FF]
S,FF]fF[+FF]fF[
S,-FF]fF[+FF]fF
S,[-FF]fF[+FF]f
S,fF[-FF]fF[+FF
S,]fF[+FF]fF[+F
S,F]fF[-FF]fF[+
S,FF]fF[-FF]fF[
S,-FF]fF[-FF]fF
S,F]fF[+FF]fF[+
S,]fF[-FF]fF[+F
S,[-FF]fF[-FF]f
S,fF[-FF]fF[-FF
S,F[+FF]fF[+FF]
S,[+FF]fF[+FF]f
S,+FF]fF[+FF]fF
S,F]fF[+FF]fF[-
S,]fF[+FF]fF[-F
S,fF[+FF]fF[-FF
S,F[+FF]fF[-FF]
S,[+FF]fF[-FF]f
S,+FF]fF[-FF]fF
S,F]fF[-FF]fF[-
S,]fF[-FF]fF[-F
S,F]fF[-FF]fF]/
S,fF[+FF]fF[+FF
S,FF]fF[-FF]fF]
S,F[-FF]fF[-FF]
S,[-FFFFFFFFF]f
S,FfF[-FF]fF[-F
S,ffFFFF[-FFFFF
S,fFFFF[-FFFFFF
S,FFFF[-FFFFFFF
S,FFF[-FFFFFFFF
S,FF[-FFFFFFFFF
S,F[-FFFFFFFFF]
S,-FFFFFFFFF]ff
S,FFFFFFFFF]ffF
S,FFFFFFFF]ffFF
S,FFFFFFF]ffFFF
S,FFFFFF]ffFFFF
S,-FfF[-FF]fF[-
S,FFFF[-FfF[-FF
S,[-FfF[-FF]fF[
S,FFFFF]ffFFFF[
S,F[-FfF[-FF]fF
S,FF[-FfF[-FF]f
S,FFF[-FfF[-FF]
S,fFFFF[-FfF[-F
S,FFFF]ffFFFF[-
S,]ffFFFF[-FfF[
S,F]ffFFFF[-FfF
S,FF]ffFFFF[-Ff
S,FFF]ffFFFF[-F
S,ffFFFF[-FfF[-
S,-FF]fF[+FF]fF[
S,]fF[+FF]fF[+FF
S,F]fF[+FF]fF[+F
S,FF]fF[+FF]fF[+
S,[-FF]fF[+FF]fF
S,F[+FF]fF[+FF]f
S,fF[-FF]fF[+FF]
S,]fF[-FF]fF[+FF
S,F]fF[-FF]fF[+F
S,FF]fF[-FF]fF[+
S,fF[+FF]fF[+FF]
S,F[-FF]fF[+FF]f
S,-FF]fF[-FF]fF[
S,F[-FF]fF[-FF]f
S,+FF]fF[+FF]fF[
S,FF]fF[+FF]fF[-
S,F]fF[+FF]fF[-F
S,]fF[+FF]fF[-FF
S,fF[+FF]fF[-FF]
S,F[+FF]fF[-FF]f
S,[+FF]fF[-FF]fF
S,+FF]fF[-FF]fF[
S,FF]fF[-FF]fF[-
S,F]fF[-FF]fF[-F
S,]fF[-FF]fF[-FF
S,[-FF]fF[-FF]fF
S,[+FF]fF[+FF]fF
S,FF]fF[-FF]fF]/
S,-FF]fF[-FF]fF]
S,ffFFFF[-FFFFFF
S,fF[-FF]fF[-FF]
S,fFFFF[-FFFFFFF
S,FFFF[-FFFFFFFF
S,FFF[-FFFFFFFFF
S,FF[-FFFFFFFFF]
S,F[-FFFFFFFFF]f
S,[-FFFFFFFFF]ff
S,-FFFFFFFFF]ffF
S,FFFFFFFFF]ffFF
S,FFFFFFFF]ffFFF
S,FFFFFFF]ffFFFF
S,FFFFFF]ffFFFF[
S,FFFFF]ffFFFF[-
S,FfF[-FF]fF[-FF
S,FF[-FfF[-FF]fF
S,FFFF]ffFFFF[-F
S,-FfF[-FF]fF[-F
S,[-FfF[-FF]fF[-
S,F[-FfF[-FF]fF[
S,FFF[-FfF[-FF]f
S,FFF]ffFFFF[-Ff
S,fFFFF[-FfF[-FF
S,ffFFFF[-FfF[-F
S,]ffFFFF[-FfF[-
S,F]ffFFFF[-FfF[
S,FF]ffFFFF[-FfF
S,FFFF[-FfF[-FF]
S,FF]fF[+FF]fF[+F
S,fF[+FF]fF[+FF]f
S,]fF[+FF]fF[+FF]
S,F]fF[+FF]fF[+FF
S,-FF]fF[+FF]fF[+
S,[+FF]fF[+FF]fF[
S,F[-FF]fF[+FF]fF
S,fF[-FF]fF[+FF]f
S,]fF[-FF]fF[+FF]
S,F]fF[-FF]fF[+FF
S,F[+FF]fF[+FF]fF
S,[-FF]fF[+FF]fF[
S,FF]fF[-FF]fF[+F
S,[-FF]fF[-FF]fF[
S,FF]fF[+FF]fF[-F
S,F]fF[+FF]fF[-FF
S,]fF[+FF]fF[-FF]
S,fF[+FF]fF[-FF]f
S,[+FF]fF[-FF]fF[
S,+FF]fF[-FF]fF[-
S,FF]fF[-FF]fF[-F
S,F]fF[-FF]fF[-FF
S,]fF[-FF]fF[-FF]
S,[-FF]fF[-FF]fF]
S,-FF]fF[-FF]fF]/
S,-FF]fF[-FF]fF[+
S,+FF]fF[+FF]fF[-
S,F[+FF]fF[-FF]fF
S,F[-FF]fF[-FF]fF
S,ffFFFF[-FFFFFFF
S,fFFFF[-FFFFFFFF
S,FFFF[-FFFFFFFFF
S,FFF[-FFFFFFFFF]
S,FF[-FFFFFFFFF]f
S,F[-FFFFFFFFF]ff
S,[-FFFFFFFFF]ffF
S,-FFFFFFFFF]ffFF
S,FFFFFFFFF]ffFFF
S,FFFFFFFF]ffFFFF
S,FFFFFFF]ffFFFF[
S,FFFFFF]ffFFFF[-
S,FFFFF]ffFFFF[-F
S,FFFF]ffFFFF[-Ff
S,fF[-FF]fF[-FF]f
S,F[-FfF[-FF]fF[-
S,FFF]ffFFFF[-FfF
S,FfF[-FF]fF[-FF]
S,-FfF[-FF]fF[-FF
S,[-FfF[-FF]fF[-F
S,FF[-FfF[-FF]fF[
S,FF]ffFFFF[-FfF[
S,FFFF[-FfF[-FF]f
S,fFFFF[-FfF[-FF]
S,ffFFFF[-FfF[-FF
S,]ffFFFF[-FfF[-F
S,F]ffFFFF[-FfF[-
S,FFF[-FfF[-FF]fF
S,-FF]fF[+FF]fF[+F
S,]fF[+FF]fF[+FF]f
S,F]fF[+FF]fF[+FF]
S,FF]fF[+FF]fF[+FF
S,[-FF]fF[+FF]fF[+
S,F[+FF]fF[+FF]fF[
S,fF[-FF]fF[+FF]fF
S,]fF[-FF]fF[+FF]f
S,F]fF[-FF]fF[+FF]
S,FF]fF[-FF]fF[+FF
S,fF[+FF]fF[+FF]fF
S,F[-FF]fF[+FF]fF[
S,-FF]fF[-FF]fF[+F
S,F[-FF]fF[-FF]fF[
S,+FF]fF[+FF]fF[-F
S,FF]fF[+FF]fF[-FF
S,F]fF[+FF]fF[-FF]
S,]fF[+FF]fF[-FF]f
S,F[+FF]fF[-FF]fF[
S,[+FF]fF[-FF]fF[-
S,+FF]fF[-FF]fF[-F
S,FF]fF[-FF]fF[-FF
S,F]fF[-FF]fF[-FF]
S,]fF[-FF]fF[-FF]f
S,[-FF]fF[-FF]fF]/
S,[-FF]fF[-FF]fF[+
S,[+FF]fF[+FF]fF[-
S,fF[+FF]fF[-FF]fF
S,F[-FF]fF[-FF]fF]
S,ffFFFF[-FFFFFFFF
S,fF[-FF]fF[-FF]fF
S,fFFFF[-FFFFFFFFF
S,FFFF[-FFFFFFFFF]
S,FFF[-FFFFFFFFF]f
S,FF[-FFFFFFFFF]ff
S,F[-FFFFFFFFF]ffF
S,[-FFFFFFFFF]ffFF
S,-FFFFFFFFF]ffFFF
S,FFFFFFFFF]ffFFFF
S,FFFFFFFF]ffFFFF[
S,FFFFFFF]ffFFFF[-
S,FFFFFF]ffFFFF[-F
S,FFFFF]ffFFFF[-Ff
S,FfF[-FF]fF[-FF]f
S,FF[-FfF[-FF]fF[-
S,FFFF]ffFFFF[-FfF
S,-FfF[-FF]fF[-FF]
S,[-FfF[-FF]fF[-FF
S,F[-FfF[-FF]fF[-F
S,FFF[-FfF[-FF]fF[
S,FFF]ffFFFF[-FfF[
S,fFFFF[-FfF[-FF]f
S,ffFFFF[-FfF[-FF]
S,]ffFFFF[-FfF[-FF
S,F]ffFFFF[-FfF[-F
S,FF]ffFFFF[-FfF[-
S,FFFF[-FfF[-FF]fF
S,-FF]fF[+FF]fF[+FF
S,]fF[+FF]fF[+FF]fF
S,F]fF[+FF]fF[+FF]f
S,FF]fF[+FF]fF[+FF]
S,[-FF]fF[+FF]fF[+F
S,F[+FF]fF[+FF]fF[-
S,fF[-FF]fF[+FF]fF[
S,]fF[-FF]fF[+FF]fF
S,F]fF[-FF]fF[+FF]f
S,fF[+FF]fF[+FF]fF[
S,-FF]fF[-FF]fF[+FF
S,F[-FF]fF[+FF]fF[+
S,FF]fF[-FF]fF[+FF]
S,F[-FF]fF[-FF]fF[+
S,+FF]fF[+FF]fF[-FF
S,FF]fF[+FF]fF[-FF]
S,F]fF[+FF]fF[-FF]f
S,]fF[+FF]fF[-FF]fF
S,F[+FF]fF[-FF]fF[-
S,[+FF]fF[-FF]fF[-F
S,+FF]fF[-FF]fF[-FF
S,FF]fF[-FF]fF[-FF]
S,F]fF[-FF]fF[-FF]f
S,]fF[-FF]fF[-FF]fF
S,[-FF]fF[-FF]fF[+F
S,F[-FF]fF[-FF]fF]/
S,[+FF]fF[+FF]fF[-F
S,fF[+FF]fF[-FF]fF[
S,fF[-FF]fF[-FF]fF]
S,fF[-FF]fF[-FF]fF[
S,ffFFFF[-FFFFFFFFF
S,fFFFF[-FFFFFFFFF]
S,FFFF[-FFFFFFFFF]f
S,FFF[-FFFFFFFFF]ff
S,FF[-FFFFFFFFF]ffF
S,F[-FFFFFFFFF]ffFF
S,[-FFFFFFFFF]ffFFF
S,-FFFFFFFFF]ffFFFF
S,FFFFFFFFF]ffFFFF[
S,FFFFFFFF]ffFFFF[-
S,FFFFFFF]ffFFFF[-F
S,FFFFFF]ffFFFF[-Ff
S,FFFFF]ffFFFF[-FfF
S,FfF[-FF]fF[-FF]fF
S,FF[-FfF[-FF]fF[-F
S,FFFF]ffFFFF[-FfF[
S,-FfF[-FF]fF[-FF]f
S,[-FfF[-FF]fF[-FF]
S,F[-FfF[-FF]fF[-FF
S,FFF[-FfF[-FF]fF[-
S,FFF]ffFFFF[-FfF[-
S,fFFFF[-FfF[-FF]fF
S,ffFFFF[-FfF[-FF]f
S,]ffFFFF[-FfF[-FF]
S,F]ffFFFF[-FfF[-FF
S,FF]ffFFFF[-FfF[-F
S,FFFF[-FfF[-FF]fF[
S,[-FF]fF[+FF]fF[+FF
S,F]fF[+FF]fF[+FF]fF
S,FF]fF[+FF]fF[+FF]f
S,-FF]fF[+FF]fF[+FF]
S,F[-FF]fF[+FF]fF[+F
S,fF[+FF]fF[+FF]fF[-
S,]fF[-FF]fF[+FF]fF[
S,F]fF[-FF]fF[+FF]fF
S,FF]fF[-FF]fF[+FF]f
S,-FF]fF[-FF]fF[+FF]
S,]fF[+FF]fF[+FF]fF[
S,fF[-FF]fF[+FF]fF[+
S,[-FF]fF[-FF]fF[+FF
S,fF[-FF]fF[-FF]fF]/
S,[+FF]fF[+FF]fF[-FF
S,+FF]fF[+FF]fF[-FF]
S,FF]fF[+FF]fF[-FF]f
S,F]fF[+FF]fF[-FF]fF
S,fF[+FF]fF[-FF]fF[-
S,F[+FF]fF[-FF]fF[-F
S,[+FF]fF[-FF]fF[-FF
S,+FF]fF[-FF]fF[-FF]
S,FF]fF[-FF]fF[-FF]f
S,F]fF[-FF]fF[-FF]fF
S,]fF[-FF]fF[-FF]fF]
S,F[-FF]fF[-FF]fF[+F
S,F[+FF]fF[+FF]fF[-F
S,]fF[+FF]fF[-FF]fF[
S,fF[-FF]fF[-FF]fF[+
S,[-FFFFFFFFF]ffFFFF
S,FfF[-FF]fF[-FF]fF[
S,ffFFFF[-FFFFFFFFF]
S,fFFFF[-FFFFFFFFF]f
S,FFFF[-FFFFFFFFF]ff
S,FFF[-FFFFFFFFF]ffF
S,FF[-FFFFFFFFF]ffFF
S,F[-FFFFFFFFF]ffFFF
S,-FFFFFFFFF]ffFFFF[
S,FFFFFFFFF]ffFFFF[-
S,FFFFFFFF]ffFFFF[-F
S,FFFFFFF]ffFFFF[-Ff
S,FFFFFF]ffFFFF[-FfF
S,-FfF[-FF]fF[-FF]fF
S,[-FfF[-FF]fF[-FF]f
S,FFFFF]ffFFFF[-FfF[
S,F[-FfF[-FF]fF[-FF]
S,FF[-FfF[-FF]fF[-FF
S,FFF[-FfF[-FF]fF[-F
S,FFFF[-FfF[-FF]fF[-
S,fFFFF[-FfF[-FF]fF[
S,FFFF]ffFFFF[-FfF[-
S,]ffFFFF[-FfF[-FF]f
S,F]ffFFFF[-FfF[-FF]
S,FF]ffFFFF[-FfF[-FF
S,FFF]ffFFFF[-FfF[-F
S,ffFFFF[-FfF[-FF]fF
S,]fF[+FF]fF[+FF]fF[-
S,FF]fF[+FF]fF[+FF]fF
S,-FF]fF[+FF]fF[+FF]f
S,]fF[-FF]fF[-FF]fF]/
S,[-FF]fF[+FF]fF[+FF]
S,]fF[-FF]fF[+FF]fF[+
S,fF[-FF]fF[+FF]fF[+F
S,F]fF[-FF]fF[+FF]fF[
S,FF]fF[-FF]fF[+FF]fF
S,-FF]fF[-FF]fF[+FF]f
S,F[-FF]fF[+FF]fF[+FF
S,F]fF[+FF]fF[+FF]fF[
S,F[-FF]fF[-FF]fF[+FF
S,F[+FF]fF[+FF]fF[-FF
S,[+FF]fF[+FF]fF[-FF]
S,+FF]fF[+FF]fF[-FF]f
S,FF]fF[+FF]fF[-FF]fF
S,F]fF[+FF]fF[-FF]fF[
S,]fF[+FF]fF[-FF]fF[-
S,fF[+FF]fF[-FF]fF[-F
S,F[+FF]fF[-FF]fF[-FF
S,[+FF]fF[-FF]fF[-FF]
S,+FF]fF[-FF]fF[-FF]f
S,FF]fF[-FF]fF[-FF]fF
S,F]fF[-FF]fF[-FF]fF]
S,fF[+FF]fF[+FF]fF[-F
S,[-FF]fF[-FF]fF[+FF]
S,]ffFFFF[-FfF[-FF]fF
S,fF[-FF]fF[-FF]fF[+F
S,ffFFFF[-FFFFFFFFF]f
S,fFFFF[-FFFFFFFFF]ff
S,FFFF[-FFFFFFFFF]ffF
S,FFF[-FFFFFFFFF]ffFF
S,FF[-FFFFFFFFF]ffFFF
S,F[-FFFFFFFFF]ffFFFF
S,[-FFFFFFFFF]ffFFFF[
S,-FFFFFFFFF]ffFFFF[-
S,FFFFFFFFF]ffFFFF[-F
S,FFFFFFFF]ffFFFF[-Ff
S,FFFFFFF]ffFFFF[-FfF
S,FFFFFF]ffFFFF[-FfF[
S,FfF[-FF]fF[-FF]fF[+
S,FF[-FfF[-FF]fF[-FF]
S,-FfF[-FF]fF[-FF]fF[
S,[-FfF[-FF]fF[-FF]fF
S,F[-FfF[-FF]fF[-FF]f
S,FFFFF]ffFFFF[-FfF[-
S,FFF[-FfF[-FF]fF[-FF
S,FFFF]ffFFFF[-FfF[-F
S,fFFFF[-FfF[-FF]fF[-
S,ffFFFF[-FfF[-FF]fF[
S,F]ffFFFF[-FfF[-FF]f
S,FF]ffFFFF[-FfF[-FF]
S,FFF]ffFFFF[-FfF[-FF
S,FFFF[-FfF[-FF]fF[-F
S,FF]fF[+FF]fF[+FF]fF[
S,-FF]fF[+FF]fF[+FF]fF
S,[-FF]fF[+FF]fF[+FF]f
S,F[-FF]fF[+FF]fF[+FF]
S,]fF[+FF]fF[+FF]fF[-F
S,]fF[-FF]fF[+FF]fF[+F
S,F]fF[-FF]fF[+FF]fF[+
S,FF]fF[-FF]fF[+FF]fF[
S,-FF]fF[-FF]fF[+FF]fF
S,F]fF[+FF]fF[+FF]fF[-
S,fF[-FF]fF[+FF]fF[+FF
S,[-FF]fF[-FF]fF[+FF]f
S,fF[-FF]fF[-FF]fF[+FF
S,F[+FF]fF[+FF]fF[-FF]
S,[+FF]fF[+FF]fF[-FF]f
S,+FF]fF[+FF]fF[-FF]fF
S,FF]fF[+FF]fF[-FF]fF[
S,F]fF[+FF]fF[-FF]fF[-
S,fF[+FF]fF[-FF]fF[-FF
S,F[+FF]fF[-FF]fF[-FF]
S,[+FF]fF[-FF]fF[-FF]f
S,+FF]fF[-FF]fF[-FF]fF
S,FF]fF[-FF]fF[-FF]fF]
S,F]fF[-FF]fF[-FF]fF]/
S,F[-FF]fF[-FF]fF[+FF]
S,fF[+FF]fF[+FF]fF[-FF
S,]fF[+FF]fF[-FF]fF[-F
S,FfF[-FF]fF[-FF]fF[+F
S,ffFFFF[-FFFFFFFFF]ff
S,fFFFF[-FFFFFFFFF]ffF
S,FFFF[-FFFFFFFFF]ffFF
S,FFF[-FFFFFFFFF]ffFFF
S,FF[-FFFFFFFFF]ffFFFF
S,F[-FFFFFFFFF]ffFFFF[
S,[-FFFFFFFFF]ffFFFF[-
S,-FFFFFFFFF]ffFFFF[-F
S,FFFFFFFFF]ffFFFF[-Ff
S,FFFFFFFF]ffFFFF[-FfF
S,FFFFFFF]ffFFFF[-FfF[
S,FFFFFF]ffFFFF[-FfF[-
S,FFFFF]ffFFFF[-FfF[-F
S,-FfF[-FF]fF[-FF]fF[+
S,FFF]ffFFFF[-FfF[-FF]
S,FF]ffFFFF[-FfF[-FF]f
S,F]ffFFFF[-FfF[-FF]fF
S,]ffFFFF[-FfF[-FF]fF[
S,ffFFFF[-FfF[-FF]fF[-
S,fFFFF[-FfF[-FF]fF[-F
S,FFFF[-FfF[-FF]fF[-FF
S,FFF[-FfF[-FF]fF[-FF]
S,FF[-FfF[-FF]fF[-FF]f
S,F[-FfF[-FF]fF[-FF]fF
S,[-FfF[-FF]fF[-FF]fF[
S,FFFF]ffFFFF[-FfF[-FF
S,-FF]fF[+FF]fF[+FF]fF[
S,[-FF]fF[+FF]fF[+FF]fF
S,F[-FF]fF[+FF]fF[+FF]f
S,fF[-FF]fF[+FF]fF[+FF]
S,F]fF[+FF]fF[+FF]fF[-F
S,F]fF[-FF]fF[+FF]fF[+F
S,FF]fF[-FF]fF[+FF]fF[+
S,-FF]fF[-FF]fF[+FF]fF[
S,[-FF]fF[-FF]fF[+FF]fF
S,FF]fF[+FF]fF[+FF]fF[-
S,]fF[-FF]fF[+FF]fF[+FF
S,F[-FF]fF[-FF]fF[+FF]f
S,FfF[-FF]fF[-FF]fF[+FF
S,fF[+FF]fF[+FF]fF[-FF]
S,F[+FF]fF[+FF]fF[-FF]f
S,[+FF]fF[+FF]fF[-FF]fF
S,+FF]fF[+FF]fF[-FF]fF[
S,F]fF[+FF]fF[-FF]fF[-F
S,]fF[+FF]fF[-FF]fF[-FF
S,fF[+FF]fF[-FF]fF[-FF]
S,FF]fF[-FF]fF[-FF]fF]/
S,[+FF]fF[-FF]fF[-FF]fF
S,+FF]fF[-FF]fF[-FF]fF]
S,fF[-FF]fF[-FF]fF[+FF]
S,]fF[+FF]fF[+FF]fF[-FF
S,FF]fF[+FF]fF[-FF]fF[-
S,F[+FF]fF[-FF]fF[-FF]f
S,[-FFFFFFFFF]ffFFFF[-F
S,-FfF[-FF]fF[-FF]fF[+F
